paipaiworld_config,Unnamed: 1,42781000,42682000,42683000,42684000,42685000,42686000,42687000,42688000
INT_K,LIST<INT>_S,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
order,equip_id,desc1,desc2,desc3,desc4,desc5,desc6,desc7,desc8
队列id,装备id,备注,备注,备注,备注,备注,备注,备注,备注
101,"42781001,42682001,42683001,42684001,42685001,42686001,42687001,42688001",42781001,42682001,42683001,42684001,42685001,42686001,42687001,42688001
102,"42683001,42685001,42687001,42781001,42682001,42684001,42686001,42688001",42683001,42685001,42687001,42781001,42682001,42684001,42686001,42688001
103,"42687001,42682001,42686001,42683001,42685001,42781001,42684001,42688001",42687001,42682001,42686001,42683001,42685001,42781001,42684001,42688001
201,"42781002,42682002,42683002,42684002,42685002,42686002,42687002,42688002",42781002,42682002,42683002,42684002,42685002,42686002,42687002,42688002
202,"42683002,42685002,42687002,42781002,42682002,42684002,42686002,42688002",42683002,42685002,42687002,42781002,42682002,42684002,42686002,42688002
203,"42687002,42682002,42686002,42683002,42685002,42781002,42684002,42688002",42687002,42682002,42686002,42683002,42685002,42781002,42684002,42688002
301,"42781003,42682003,42683003,42684003,42685003,42686003,42687003,42688003",42781003,42682003,42683003,42684003,42685003,42686003,42687003,42688003
302,"42683003,42685003,42687003,42781003,42682003,42684003,42686003,42688003",42683003,42685003,42687003,42781003,42682003,42684003,42686003,42688003
303,"42687003,42682003,42686003,42683003,42685003,42781003,42684003,42688003",42687003,42682003,42686003,42683003,42685003,42781003,42684003,42688003
401,"42781004,42682004,42683004,42684004,42685004,42686004,42687004,42688004",42781004,42682004,42683004,42684004,42685004,42686004,42687004,42688004
402,"42683004,42685004,42687004,42781004,42682004,42684004,42686004,42688004",42683004,42685004,42687004,42781004,42682004,42684004,42686004,42688004
403,"42687004,42682004,42686004,42683004,42685004,42781004,42684004,42688004",42687004,42682004,42686004,42683004,42685004,42781004,42684004,42688004
501,"42781005,42682005,42683005,42684005,42685005,42686005,42687005,42688005",42781005,42682005,42683005,42684005,42685005,42686005,42687005,42688005
502,"42683005,42685005,42687005,42781005,42682005,42684005,42686005,42688005",42683005,42685005,42687005,42781005,42682005,42684005,42686005,42688005
503,"42687005,42682005,42686005,42683005,42685005,42781005,42684005,42688005",42687005,42682005,42686005,42683005,42685005,42781005,42684005,42688005
601,"42781006,42682006,42683006,42684006,42685006,42686006,42687006,42688006",42781006,42682006,42683006,42684006,42685006,42686006,42687006,42688006
602,"42683006,42685006,42687006,42781006,42682006,42684006,42686006,42688006",42683006,42685006,42687006,42781006,42682006,42684006,42686006,42688006
603,"42687006,42682006,42686006,42683006,42685006,42781006,42684006,42688006",42687006,42682006,42686006,42683006,42685006,42781006,42684006,42688006
701,"42781007,42682007,42683007,42684007,42685007,42686007,42687007,42688007",42781007,42682007,42683007,42684007,42685007,42686007,42687007,42688007
702,"42683007,42685007,42687007,42781007,42682007,42684007,42686007,42688007",42683007,42685007,42687007,42781007,42682007,42684007,42686007,42688007
703,"42687007,42682007,42686007,42683007,42685007,42781007,42684007,42688007",42687007,42682007,42686007,42683007,42685007,42781007,42684007,42688007
801,"42781008,42682008,42683008,42684008,42685008,42686008,42687008,42688008",42781008,42682008,42683008,42684008,42685008,42686008,42687008,42688008
802,"42683008,42685008,42687008,42781008,42682008,42684008,42686008,42688008",42683008,42685008,42687008,42781008,42682008,42684008,42686008,42688008
803,"42687008,42682008,42686008,42683008,42685008,42781008,42684008,42688008",42687008,42682008,42686008,42683008,42685008,42781008,42684008,42688008
901,"42781009,42682009,42683009,42684009,42685009,42686009,42687009,42688009",42781009,42682009,42683009,42684009,42685009,42686009,42687009,42688009
902,"42683009,42685009,42687009,42781009,42682009,42684009,42686009,42688009",42683009,42685009,42687009,42781009,42682009,42684009,42686009,42688009
903,"42687009,42682009,42686009,42683009,42685009,42781009,42684009,42688009",42687009,42682009,42686009,42683009,42685009,42781009,42684009,42688009
1001,"42781010,42682010,42683010,42684010,42685010,42686010,42687010,42688010",42781010,42682010,42683010,42684010,42685010,42686010,42687010,42688010
1002,"42683010,42685010,42687010,42781010,42682010,42684010,42686010,42688010",42683010,42685010,42687010,42781010,42682010,42684010,42686010,42688010
1003,"42687010,42682010,42686010,42683010,42685010,42781010,42684010,42688010",42687010,42682010,42686010,42683010,42685010,42781010,42684010,42688010
1101,"42781011,42682011,42683011,42684011,42685011,42686011,42687011,42688011",42781011,42682011,42683011,42684011,42685011,42686011,42687011,42688011
1102,"42683011,42685011,42687011,42781011,42682011,42684011,42686011,42688011",42683011,42685011,42687011,42781011,42682011,42684011,42686011,42688011
1103,"42687011,42682011,42686011,42683011,42685011,42781011,42684011,42688011",42687011,42682011,42686011,42683011,42685011,42781011,42684011,42688011
1201,"42781012,42682012,42683012,42684012,42685012,42686012,42687012,42688012",42781012,42682012,42683012,42684012,42685012,42686012,42687012,42688012
1202,"42683012,42685012,42687012,42781012,42682012,42684012,42686012,42688012",42683012,42685012,42687012,42781012,42682012,42684012,42686012,42688012
1203,"42687012,42682012,42686012,42683012,42685012,42781012,42684012,42688012",42687012,42682012,42686012,42683012,42685012,42781012,42684012,42688012
1301,"42781013,42682013,42683013,42684013,42685013,42686013,42687013,42688013",42781013,42682013,42683013,42684013,42685013,42686013,42687013,42688013
1302,"42683013,42685013,42687013,42781013,42682013,42684013,42686013,42688013",42683013,42685013,42687013,42781013,42682013,42684013,42686013,42688013
1303,"42687013,42682013,42686013,42683013,42685013,42781013,42684013,42688013",42687013,42682013,42686013,42683013,42685013,42781013,42684013,42688013
1401,"42781014,42682014,42683014,42684014,42685014,42686014,42687014,42688014",42781014,42682014,42683014,42684014,42685014,42686014,42687014,42688014
1402,"42683014,42685014,42687014,42781014,42682014,42684014,42686014,42688014",42683014,42685014,42687014,42781014,42682014,42684014,42686014,42688014
1403,"42687014,42682014,42686014,42683014,42685014,42781014,42684014,42688014",42687014,42682014,42686014,42683014,42685014,42781014,42684014,42688014
1501,"42781015,42682015,42683015,42684015,42685015,42686015,42687015,42688015",42781015,42682015,42683015,42684015,42685015,42686015,42687015,42688015
1502,"42683015,42685015,42687015,42781015,42682015,42684015,42686015,42688015",42683015,42685015,42687015,42781015,42682015,42684015,42686015,42688015
1503,"42687015,42682015,42686015,42683015,42685015,42781015,42684015,42688015",42687015,42682015,42686015,42683015,42685015,42781015,42684015,42688015
1601,"42781016,42682016,42683016,42684016,42685016,42686016,42687016,42688016",42781016,42682016,42683016,42684016,42685016,42686016,42687016,42688016
1602,"42683016,42685016,42687016,42781016,42682016,42684016,42686016,42688016",42683016,42685016,42687016,42781016,42682016,42684016,42686016,42688016
1603,"42687016,42682016,42686016,42683016,42685016,42781016,42684016,42688016",42687016,42682016,42686016,42683016,42685016,42781016,42684016,42688016
1701,"42781017,42682017,42683017,42684017,42685017,42686017,42687017,42688017",42781017,42682017,42683017,42684017,42685017,42686017,42687017,42688017
1702,"42683017,42685017,42687017,42781017,42682017,42684017,42686017,42688017",42683017,42685017,42687017,42781017,42682017,42684017,42686017,42688017
1703,"42687017,42682017,42686017,42683017,42685017,42781017,42684017,42688017",42687017,42682017,42686017,42683017,42685017,42781017,42684017,42688017
1801,"42781018,42682018,42683018,42684018,42685018,42686018,42687018,42688018",42781018,42682018,42683018,42684018,42685018,42686018,42687018,42688018
1802,"42683018,42685018,42687018,42781018,42682018,42684018,42686018,42688018",42683018,42685018,42687018,42781018,42682018,42684018,42686018,42688018
1803,"42687018,42682018,42686018,42683018,42685018,42781018,42684018,42688018",42687018,42682018,42686018,42683018,42685018,42781018,42684018,42688018
1901,"42781019,42682019,42683019,42684019,42685019,42686019,42687019,42688019",42781019,42682019,42683019,42684019,42685019,42686019,42687019,42688019
1902,"42683019,42685019,42687019,42781019,42682019,42684019,42686019,42688019",42683019,42685019,42687019,42781019,42682019,42684019,42686019,42688019
1903,"42687019,42682019,42686019,42683019,42685019,42781019,42684019,42688019",42687019,42682019,42686019,42683019,42685019,42781019,42684019,42688019
2001,"42781020,42682020,42683020,42684020,42685020,42686020,42687020,42688020",42781020,42682020,42683020,42684020,42685020,42686020,42687020,42688020
2002,"42683020,42685020,42687020,42781020,42682020,42684020,42686020,42688020",42683020,42685020,42687020,42781020,42682020,42684020,42686020,42688020
2003,"42687020,42682020,42686020,42683020,42685020,42781020,42684020,42688020",42687020,42682020,42686020,42683020,42685020,42781020,42684020,42688020
2101,"42781021,42682021,42683021,42684021,42685021,42686021,42687021,42688021",42781021,42682021,42683021,42684021,42685021,42686021,42687021,42688021
2102,"42683021,42685021,42687021,42781021,42682021,42684021,42686021,42688021",42683021,42685021,42687021,42781021,42682021,42684021,42686021,42688021
2103,"42687021,42682021,42686021,42683021,42685021,42781021,42684021,42688021",42687021,42682021,42686021,42683021,42685021,42781021,42684021,42688021
2201,"42781022,42682022,42683022,42684022,42685022,42686022,42687022,42688022",42781022,42682022,42683022,42684022,42685022,42686022,42687022,42688022
2202,"42683022,42685022,42687022,42781022,42682022,42684022,42686022,42688022",42683022,42685022,42687022,42781022,42682022,42684022,42686022,42688022
